区块	proto	备注
cmd_activity	ExpeditionRecallReq	ExpeditionRecallReq
cmd_activity	ExpeditionRecallRsp	ExpeditionRecallRsp
cmd_activity	ExpeditionTakeRewardReq	ExpeditionTakeRewardReq
cmd_activity	ExpeditionTakeRewardRsp	ExpeditionTakeRewardRsp
cmd_activity	GetExpeditionAssistInfoListReq	GetExpeditionAssistInfoListReq
cmd_activity	GetExpeditionAssistInfoListRsp	GetExpeditionAssistInfoListRsp
cmd_activity	SetCurExpeditionChallengeIdReq	SetCurExpeditionChallengeIdReq
cmd_activity	SetCurExpeditionChallengeIdRsp	SetCurExpeditionChallengeIdRsp
cmd_activity	ExpeditionChallengeEnterRegionNotify	ExpeditionChallengeEnterRegionNotify
cmd_activity	ExpeditionChallengeFinishedNotify	ExpeditionChallengeFinishedNotify
cmd_activity	FleurFairBalloonSettleNotify	FleurFairBalloonSettleNotify
cmd_activity	FleurFairFallSettleNotify	FleurFairFallSettleNotify
cmd_activity	FleurFairMusicGameSettleReq	FleurFairMusicGameSettleReq
cmd_activity	FleurFairMusicGameSettleRsp	FleurFairMusicGameSettleRsp
cmd_activity	FleurFairMusicGameStartReq	FleurFairMusicGameStartReq
cmd_activity	FleurFairMusicGameStartRsp	FleurFairMusicGameStartRsp
cmd_activity	FleurFairReplayMiniGameReq	FleurFairReplayMiniGameReq
cmd_activity	FleurFairReplayMiniGameRsp	FleurFairReplayMiniGameRsp
cmd_activity	StartArenaChallengeLevelReq	StartArenaChallengeLevelReq
cmd_activity	StartArenaChallengeLevelRsp	StartArenaChallengeLevelRsp
cmd_activity	ArenaChallengeFinishNotify	ArenaChallengeFinishNotify
cmd_activity	WaterSpritePhaseFinishNotify	WaterSpritePhaseFinishNotify
cmd_activity	ActivityTakeWatcherRewardBatchReq	ActivityTakeWatcherRewardBatchReq
cmd_activity	ActivityTakeWatcherRewardBatchRsp	ActivityTakeWatcherRewardBatchRsp
cmd_activity	ChannelerSlabStageActiveChallengeIndexNotify	ChannelerSlabStageActiveChallengeIndexNotify
cmd_activity	ChannelerSlabStageOneoffDungeonNotify	ChannelerSlabStageOneoffDungeonNotify
cmd_activity	ChannellerSlabWearBuffReq	ChannellerSlabWearBuffReq
cmd_activity	ChannellerSlabWearBuffRsp	ChannellerSlabWearBuffRsp
cmd_activity	ChannellerSlabTakeoffBuffReq	ChannellerSlabTakeoffBuffReq
cmd_activity	ChannellerSlabTakeoffBuffRsp	ChannellerSlabTakeoffBuffRsp
cmd_activity	ChannellerSlabEnterLoopDungeonReq	ChannellerSlabEnterLoopDungeonReq
cmd_activity	ChannellerSlabEnterLoopDungeonRsp	ChannellerSlabEnterLoopDungeonRsp
cmd_activity	ChannellerSlabLoopDungeonTakeFirstPassRewardReq	ChannellerSlabLoopDungeonTakeFirstPassRewardReq
cmd_activity	ChannellerSlabLoopDungeonTakeFirstPassRewardRsp	ChannellerSlabLoopDungeonTakeFirstPassRewardRsp
cmd_activity	ChannellerSlabLoopDungeonTakeScoreRewardReq	ChannellerSlabLoopDungeonTakeScoreRewardReq
cmd_activity	ChannellerSlabLoopDungeonTakeScoreRewardRsp	ChannellerSlabLoopDungeonTakeScoreRewardRsp
cmd_activity	ChannellerSlabLoopDungeonChallengeInfoNotify	ChannellerSlabLoopDungeonChallengeInfoNotify
cmd_activity	ChannellerSlabLoopDungeonSelectConditionReq	ChannellerSlabLoopDungeonSelectConditionReq
cmd_activity	ChannellerSlabLoopDungeonSelectConditionRsp	ChannellerSlabLoopDungeonSelectConditionRsp
cmd_activity	ChannellerSlabOneOffDungeonInfoReq	ChannellerSlabOneOffDungeonInfoReq
cmd_activity	ChannellerSlabOneOffDungeonInfoRsp	ChannellerSlabOneOffDungeonInfoRsp
cmd_activity	ChannellerSlabOneOffDungeonInfoNotify	ChannellerSlabOneOffDungeonInfoNotify
cmd_activity	ChannellerSlabSaveAssistInfoReq	ChannellerSlabSaveAssistInfoReq
cmd_activity	ChannellerSlabSaveAssistInfoRsp	ChannellerSlabSaveAssistInfoRsp
cmd_activity	MistTrialSelectAvatarAndEnterDungeonReq	MistTrialSelectAvatarAndEnterDungeonReq
cmd_activity	MistTrialSelectAvatarAndEnterDungeonRsp	MistTrialSelectAvatarAndEnterDungeonRsp
cmd_activity	MistTrialGetChallengeMissionReq	MistTrialGetChallengeMissionReq
cmd_activity	MistTrialGetChallengeMissionRsp	MistTrialGetChallengeMissionRsp
cmd_activity	MistTrialDunegonFailNotify	MistTrialDunegonFailNotify
cmd_activity	ChannellerSlabCheckEnterLoopDungeonReq	ChannellerSlabCheckEnterLoopDungeonReq
cmd_activity	ChannellerSlabCheckEnterLoopDungeonRsp	ChannellerSlabCheckEnterLoopDungeonRsp
cmd_activity	HideAndSeekSelectSkillReq	HideAndSeekSelectSkillReq
cmd_activity	HideAndSeekSelectSkillRsp	HideAndSeekSelectSkillRsp
cmd_activity	ActivityTakeScoreRewardReq	ActivityTakeScoreRewardReq
cmd_activity	ActivityTakeScoreRewardRsp	ActivityTakeScoreRewardRsp
cmd_activity	ActivityTakeAllScoreRewardReq	ActivityTakeAllScoreRewardReq
cmd_activity	ActivityTakeAllScoreRewardRsp	ActivityTakeAllScoreRewardRsp
cmd_activity	HideAndSeekChooseMapReq	HideAndSeekChooseMapReq
cmd_activity	HideAndSeekChooseMapRsp	HideAndSeekChooseMapRsp
cmd_activity	CommonPlayerTipsNotify	CommonPlayerTipsNotify
cmd_activity	FindHilichurlFinishSecondQuestNotify	FindHilichurlFinishSecondQuestNotify
cmd_activity	FindHilichurlAcceptQuestNotify	FindHilichurlAcceptQuestNotify
cmd_activity	SummerTimeFloatSignalPositionNotify	SummerTimeFloatSignalPositionNotify
cmd_activity	SummerTimeFloatSignalUpdateNotify	SummerTimeFloatSignalUpdateNotify
cmd_activity	SummerTimeSprintBoatSettleNotify	SummerTimeSprintBoatSettleNotify
cmd_activity	SummerTimeSprintBoatRestartReq	SummerTimeSprintBoatRestartReq
cmd_activity	SummerTimeSprintBoatRestartRsp	SummerTimeSprintBoatRestartRsp
cmd_activity	StartBuoyantCombatGalleryReq	StartBuoyantCombatGalleryReq
cmd_activity	StartBuoyantCombatGalleryRsp	StartBuoyantCombatGalleryRsp
cmd_activity	BuoyantCombatSettleNotify	BuoyantCombatSettleNotify
cmd_activity	SetLimitOptimizationNotify	SetLimitOptimizationNotify
cmd_activity	EchoShellUpdateNotify	EchoShellUpdateNotify
cmd_activity	EchoShellTakeRewardReq	EchoShellTakeRewardReq
cmd_activity	EchoShellTakeRewardRsp	EchoShellTakeRewardRsp
cmd_activity	BounceConjuringSettleNotify	BounceConjuringSettleNotify
cmd_activity	BlitzRushParkourRestartReq	BlitzRushParkourRestartReq
cmd_activity	BlitzRushParkourRestartRsp	BlitzRushParkourRestartRsp
cmd_activity	EnterChessDungeonReq	EnterChessDungeonReq
cmd_activity	EnterChessDungeonRsp	EnterChessDungeonRsp
cmd_activity	TreasureMapHostInfoNotify	TreasureMapHostInfoNotify
cmd_activity	SumoSaveTeamReq	SumoSaveTeamReq
cmd_activity	SumoSaveTeamRsp	SumoSaveTeamRsp
cmd_activity	SumoSelectTeamAndEnterDungeonReq	SumoSelectTeamAndEnterDungeonReq
cmd_activity	SumoSelectTeamAndEnterDungeonRsp	SumoSelectTeamAndEnterDungeonRsp
cmd_activity	SumoDungeonSettleNotify	SumoDungeonSettleNotify
cmd_activity	SumoEnterDungeonNotify	SumoEnterDungeonNotify
cmd_activity	SumoSwitchTeamReq	SumoSwitchTeamReq
cmd_activity	SumoSwitchTeamRsp	SumoSwitchTeamRsp
cmd_activity	SumoLeaveDungeonNotify	SumoLeaveDungeonNotify
cmd_activity	SumoRestartDungeonReq	SumoRestartDungeonReq
cmd_activity	SumoRestartDungeonRsp	SumoRestartDungeonRsp
cmd_activity	ActivityDisableTransferPointInteractionNotify	ActivityDisableTransferPointInteractionNotify
cmd_activity	SumoSetNoSwitchPunishTimeNotify	SumoSetNoSwitchPunishTimeNotify
cmd_activity	FishingGallerySettleNotify	FishingGallerySettleNotify
cmd_activity	LunaRiteSacrificeReq	LunaRiteSacrificeReq
cmd_activity	LunaRiteSacrificeRsp	LunaRiteSacrificeRsp
cmd_activity	LunaRiteTakeSacrificeRewardReq	LunaRiteTakeSacrificeRewardReq
cmd_activity	LunaRiteTakeSacrificeRewardRsp	LunaRiteTakeSacrificeRewardRsp
cmd_activity	LunaRiteHintPointReq	LunaRiteHintPointReq
cmd_activity	LunaRiteHintPointRsp	LunaRiteHintPointRsp
cmd_activity	LunaRiteHintPointRemoveNotify	LunaRiteHintPointRemoveNotify
cmd_activity	LunaRiteGroupBundleRegisterNotify	LunaRiteGroupBundleRegisterNotify
cmd_activity	LunaRiteAreaFinishNotify	LunaRiteAreaFinishNotify
cmd_activity	PlantFlowerGetSeedInfoReq	PlantFlowerGetSeedInfoReq
cmd_activity	PlantFlowerGetSeedInfoRsp	PlantFlowerGetSeedInfoRsp
cmd_activity	PlantFlowerTakeSeedRewardReq	PlantFlowerTakeSeedRewardReq
cmd_activity	PlantFlowerTakeSeedRewardRsp	PlantFlowerTakeSeedRewardRsp
cmd_activity	PlantFlowerSetFlowerWishReq	PlantFlowerSetFlowerWishReq
cmd_activity	PlantFlowerSetFlowerWishRsp	PlantFlowerSetFlowerWishRsp
cmd_activity	PlantFlowerGetFriendFlowerWishListReq	PlantFlowerGetFriendFlowerWishListReq
cmd_activity	PlantFlowerGetFriendFlowerWishListRsp	PlantFlowerGetFriendFlowerWishListRsp
cmd_activity	PlantFlowerGiveFriendFlowerReq	PlantFlowerGiveFriendFlowerReq
cmd_activity	PlantFlowerGiveFriendFlowerRsp	PlantFlowerGiveFriendFlowerRsp
cmd_activity	PlantFlowerGetRecvFlowerListReq	PlantFlowerGetRecvFlowerListReq
cmd_activity	PlantFlowerGetRecvFlowerListRsp	PlantFlowerGetRecvFlowerListRsp
cmd_activity	PlantFlowerHaveRecvFlowerNotify	PlantFlowerHaveRecvFlowerNotify
cmd_activity	PlantFlowerAcceptGiveFlowerReq	PlantFlowerAcceptGiveFlowerReq
cmd_activity	PlantFlowerAcceptGiveFlowerRsp	PlantFlowerAcceptGiveFlowerRsp
cmd_activity	PlantFlowerAcceptAllGiveFlowerReq	PlantFlowerAcceptAllGiveFlowerReq
cmd_activity	PlantFlowerAcceptAllGiveFlowerRsp	PlantFlowerAcceptAllGiveFlowerRsp
cmd_activity	PlantFlowerGetCanGiveFriendFlowerReq	PlantFlowerGetCanGiveFriendFlowerReq
cmd_activity	PlantFlowerGetCanGiveFriendFlowerRsp	PlantFlowerGetCanGiveFriendFlowerRsp
cmd_activity	PlantFlowerEditFlowerCombinationReq	PlantFlowerEditFlowerCombinationReq
cmd_activity	PlantFlowerEditFlowerCombinationRsp	PlantFlowerEditFlowerCombinationRsp
cmd_activity	MusicGameSettleReq	MusicGameSettleReq
cmd_activity	MusicGameSettleRsp	MusicGameSettleRsp
cmd_activity	MusicGameStartReq	MusicGameStartReq
cmd_activity	MusicGameStartRsp	MusicGameStartRsp
cmd_activity	DoRoguelikeDungeonCardGachaReq	DoRoguelikeDungeonCardGachaReq
cmd_activity	DoRoguelikeDungeonCardGachaRsp	DoRoguelikeDungeonCardGachaRsp
cmd_activity	RefreshRoguelikeDungeonCardReq	RefreshRoguelikeDungeonCardReq
cmd_activity	RefreshRoguelikeDungeonCardRsp	RefreshRoguelikeDungeonCardRsp
cmd_activity	SelectRoguelikeDungeonCardReq	SelectRoguelikeDungeonCardReq
cmd_activity	SelectRoguelikeDungeonCardRsp	SelectRoguelikeDungeonCardRsp
cmd_activity	EquipRoguelikeRuneReq	EquipRoguelikeRuneReq
cmd_activity	EquipRoguelikeRuneRsp	EquipRoguelikeRuneRsp
cmd_activity	TriggerRoguelikeRuneReq	TriggerRoguelikeRuneReq
cmd_activity	TriggerRoguelikeRuneRsp	TriggerRoguelikeRuneRsp
cmd_activity	TriggerRoguelikeCurseNotify	TriggerRoguelikeCurseNotify
cmd_activity	UpgradeRoguelikeShikigamiReq	UpgradeRoguelikeShikigamiReq
cmd_activity	UpgradeRoguelikeShikigamiRsp	UpgradeRoguelikeShikigamiRsp
cmd_activity	RoguelikeSelectAvatarAndEnterDungeonReq	RoguelikeSelectAvatarAndEnterDungeonReq
cmd_activity	RoguelikeSelectAvatarAndEnterDungeonRsp	RoguelikeSelectAvatarAndEnterDungeonRsp
cmd_activity	RoguelikeGiveUpReq	RoguelikeGiveUpReq
cmd_activity	RoguelikeGiveUpRsp	RoguelikeGiveUpRsp
cmd_activity	RoguelikeTakeStageFirstPassRewardReq	RoguelikeTakeStageFirstPassRewardReq
cmd_activity	RoguelikeTakeStageFirstPassRewardRsp	RoguelikeTakeStageFirstPassRewardRsp
cmd_activity	GiveUpRoguelikeDungeonCardReq	GiveUpRoguelikeDungeonCardReq
cmd_activity	GiveUpRoguelikeDungeonCardRsp	GiveUpRoguelikeDungeonCardRsp
cmd_activity	EnterRoguelikeDungeonNotify	EnterRoguelikeDungeonNotify
cmd_activity	StartRogueEliteCellChallengeReq	StartRogueEliteCellChallengeReq
cmd_activity	StartRogueEliteCellChallengeRsp	StartRogueEliteCellChallengeRsp
cmd_activity	StartRogueNormalCellChallengeReq	StartRogueNormalCellChallengeReq
cmd_activity	StartRogueNormalCellChallengeRsp	StartRogueNormalCellChallengeRsp
cmd_activity	RogueCellUpdateNotify	RogueCellUpdateNotify
cmd_activity	RogueDungeonPlayerCellChangeNotify	RogueDungeonPlayerCellChangeNotify
cmd_activity	RogueHealAvatarsReq	RogueHealAvatarsReq
cmd_activity	RogueHealAvatarsRsp	RogueHealAvatarsRsp
cmd_activity	RogueResumeDungeonReq	RogueResumeDungeonReq
cmd_activity	RogueResumeDungeonRsp	RogueResumeDungeonRsp
cmd_activity	ClearRoguelikeCurseNotify	ClearRoguelikeCurseNotify
cmd_activity	RoguelikeCardGachaNotify	RoguelikeCardGachaNotify
cmd_activity	RogueSwitchAvatarReq	RogueSwitchAvatarReq
cmd_activity	RogueSwitchAvatarRsp	RogueSwitchAvatarRsp
cmd_activity	DisableRoguelikeTrapNotify	DisableRoguelikeTrapNotify
cmd_activity	RoguelikeRuneRecordUpdateNotify	RoguelikeRuneRecordUpdateNotify
cmd_activity	RoguelikeMistClearNotify	RoguelikeMistClearNotify
cmd_activity	RoguelikeEffectDataNotify	RoguelikeEffectDataNotify
cmd_activity	RoguelikeEffectViewReq	RoguelikeEffectViewReq
cmd_activity	RoguelikeEffectViewRsp	RoguelikeEffectViewRsp
cmd_activity	RoguelikeResourceBonusPropUpdateNotify	RoguelikeResourceBonusPropUpdateNotify
cmd_activity	RoguelikeRefreshCardCostUpdateNotify	RoguelikeRefreshCardCostUpdateNotify
cmd_activity	DigActivityMarkPointChangeNotify	DigActivityMarkPointChangeNotify
cmd_activity	DigActivityChangeGadgetStateReq	DigActivityChangeGadgetStateReq
cmd_activity	DigActivityChangeGadgetStateRsp	DigActivityChangeGadgetStateRsp
cmd_activity	WinterCampStageInfoChangeNotify	WinterCampStageInfoChangeNotify
cmd_activity	WinterCampRaceScoreNotify	WinterCampRaceScoreNotify
cmd_activity	WinterCampGiveFriendItemReq	WinterCampGiveFriendItemReq
cmd_activity	WinterCampGiveFriendItemRsp	WinterCampGiveFriendItemRsp
cmd_activity	WinterCampSetWishListReq	WinterCampSetWishListReq
cmd_activity	WinterCampSetWishListRsp	WinterCampSetWishListRsp
cmd_activity	WinterCampGetFriendWishListReq	WinterCampGetFriendWishListReq
cmd_activity	WinterCampGetFriendWishListRsp	WinterCampGetFriendWishListRsp
cmd_activity	WinterCampRecvItemNotify	WinterCampRecvItemNotify
cmd_activity	WinterCampAcceptGiveItemReq	WinterCampAcceptGiveItemReq
cmd_activity	WinterCampAcceptGiveItemRsp	WinterCampAcceptGiveItemRsp
cmd_activity	WinterCampAcceptAllGiveItemReq	WinterCampAcceptAllGiveItemReq
cmd_activity	WinterCampAcceptAllGiveItemRsp	WinterCampAcceptAllGiveItemRsp
cmd_activity	WinterCampGetCanGiveFriendItemReq	WinterCampGetCanGiveFriendItemReq
cmd_activity	WinterCampGetCanGiveFriendItemRsp	WinterCampGetCanGiveFriendItemRsp
cmd_activity	WinterCampGetRecvItemListReq	WinterCampGetRecvItemListReq
cmd_activity	WinterCampGetRecvItemListRsp	WinterCampGetRecvItemListRsp
cmd_activity	WinterCampEditSnowmanCombinationReq	WinterCampEditSnowmanCombinationReq
cmd_activity	WinterCampEditSnowmanCombinationRsp	WinterCampEditSnowmanCombinationRsp
cmd_activity	WinterCampTriathlonSettleNotify	WinterCampTriathlonSettleNotify
cmd_activity	WinterCampTakeExploreRewardReq	WinterCampTakeExploreRewardReq
cmd_activity	WinterCampTakeExploreRewardRsp	WinterCampTakeExploreRewardRsp
cmd_activity	WinterCampTakeBattleRewardReq	WinterCampTakeBattleRewardReq
cmd_activity	WinterCampTakeBattleRewardRsp	WinterCampTakeBattleRewardRsp
cmd_activity	WinterCampTriathlonRestartReq	WinterCampTriathlonRestartReq
cmd_activity	WinterCampTriathlonRestartRsp	WinterCampTriathlonRestartRsp
cmd_activity	MistTrialSettleNotify	MistTrialSettleNotify
cmd_activity	MistTrialGetDungeonExhibitionDataReq	MistTrialGetDungeonExhibitionDataReq
cmd_activity	MistTrialGetDungeonExhibitionDataRsp	MistTrialGetDungeonExhibitionDataRsp
cmd_activity	PotionResetChallengeReq	PotionResetChallengeReq
cmd_activity	PotionResetChallengeRsp	PotionResetChallengeRsp
cmd_activity	PotionEnterDungeonReq	PotionEnterDungeonReq
cmd_activity	PotionEnterDungeonRsp	PotionEnterDungeonRsp
cmd_activity	PotionEnterDungeonNotify	PotionEnterDungeonNotify
cmd_activity	PotionSaveDungeonResultReq	PotionSaveDungeonResultReq
cmd_activity	PotionSaveDungeonResultRsp	PotionSaveDungeonResultRsp
cmd_activity	PotionRestartDungeonReq	PotionRestartDungeonReq
cmd_activity	PotionRestartDungeonRsp	PotionRestartDungeonRsp
cmd_activity	TanukiTravelFinishGuideQuestNotify	TanukiTravelFinishGuideQuestNotify
cmd_activity	FinishLanternProjectionReq	FinishLanternProjectionReq
cmd_activity	FinishLanternProjectionRsp	FinishLanternProjectionRsp
cmd_activity	ViewLanternProjectionTipsReq	ViewLanternProjectionTipsReq
cmd_activity	ViewLanternProjectionTipsRsp	ViewLanternProjectionTipsRsp
cmd_activity	ViewLanternProjectionLevelTipsReq	ViewLanternProjectionLevelTipsReq
